filename,path,classe,width,height
saudavel_000.png,../data/synthetic/imagens_videira/saudavel\saudavel_000.png,saudavel,256,256
saudavel_001.png,../data/synthetic/imagens_videira/saudavel\saudavel_001.png,saudavel,256,256
saudavel_002.png,../data/synthetic/imagens_videira/saudavel\saudavel_002.png,saudavel,256,256
saudavel_003.png,../data/synthetic/imagens_videira/saudavel\saudavel_003.png,saudavel,256,256
saudavel_004.png,../data/synthetic/imagens_videira/saudavel\saudavel_004.png,saudavel,256,256
saudavel_005.png,../data/synthetic/imagens_videira/saudavel\saudavel_005.png,saudavel,256,256
saudavel_006.png,../data/synthetic/imagens_videira/saudavel\saudavel_006.png,saudavel,256,256
saudavel_007.png,../data/synthetic/imagens_videira/saudavel\saudavel_007.png,saudavel,256,256
saudavel_008.png,../data/synthetic/imagens_videira/saudavel\saudavel_008.png,saudavel,256,256
saudavel_009.png,../data/synthetic/imagens_videira/saudavel\saudavel_009.png,saudavel,256,256
saudavel_010.png,../data/synthetic/imagens_videira/saudavel\saudavel_010.png,saudavel,256,256
saudavel_011.png,../data/synthetic/imagens_videira/saudavel\saudavel_011.png,saudavel,256,256
saudavel_012.png,../data/synthetic/imagens_videira/saudavel\saudavel_012.png,saudavel,256,256
saudavel_013.png,../data/synthetic/imagens_videira/saudavel\saudavel_013.png,saudavel,256,256
saudavel_014.png,../data/synthetic/imagens_videira/saudavel\saudavel_014.png,saudavel,256,256
saudavel_015.png,../data/synthetic/imagens_videira/saudavel\saudavel_015.png,saudavel,256,256
saudavel_016.png,../data/synthetic/imagens_videira/saudavel\saudavel_016.png,saudavel,256,256
saudavel_017.png,../data/synthetic/imagens_videira/saudavel\saudavel_017.png,saudavel,256,256
saudavel_018.png,../data/synthetic/imagens_videira/saudavel\saudavel_018.png,saudavel,256,256
saudavel_019.png,../data/synthetic/imagens_videira/saudavel\saudavel_019.png,saudavel,256,256
saudavel_020.png,../data/synthetic/imagens_videira/saudavel\saudavel_020.png,saudavel,256,256
saudavel_021.png,../data/synthetic/imagens_videira/saudavel\saudavel_021.png,saudavel,256,256
saudavel_022.png,../data/synthetic/imagens_videira/saudavel\saudavel_022.png,saudavel,256,256
saudavel_023.png,../data/synthetic/imagens_videira/saudavel\saudavel_023.png,saudavel,256,256
saudavel_024.png,../data/synthetic/imagens_videira/saudavel\saudavel_024.png,saudavel,256,256
saudavel_025.png,../data/synthetic/imagens_videira/saudavel\saudavel_025.png,saudavel,256,256
saudavel_026.png,../data/synthetic/imagens_videira/saudavel\saudavel_026.png,saudavel,256,256
saudavel_027.png,../data/synthetic/imagens_videira/saudavel\saudavel_027.png,saudavel,256,256
saudavel_028.png,../data/synthetic/imagens_videira/saudavel\saudavel_028.png,saudavel,256,256
saudavel_029.png,../data/synthetic/imagens_videira/saudavel\saudavel_029.png,saudavel,256,256
saudavel_030.png,../data/synthetic/imagens_videira/saudavel\saudavel_030.png,saudavel,256,256
saudavel_031.png,../data/synthetic/imagens_videira/saudavel\saudavel_031.png,saudavel,256,256
saudavel_032.png,../data/synthetic/imagens_videira/saudavel\saudavel_032.png,saudavel,256,256
saudavel_033.png,../data/synthetic/imagens_videira/saudavel\saudavel_033.png,saudavel,256,256
saudavel_034.png,../data/synthetic/imagens_videira/saudavel\saudavel_034.png,saudavel,256,256
saudavel_035.png,../data/synthetic/imagens_videira/saudavel\saudavel_035.png,saudavel,256,256
saudavel_036.png,../data/synthetic/imagens_videira/saudavel\saudavel_036.png,saudavel,256,256
saudavel_037.png,../data/synthetic/imagens_videira/saudavel\saudavel_037.png,saudavel,256,256
saudavel_038.png,../data/synthetic/imagens_videira/saudavel\saudavel_038.png,saudavel,256,256
saudavel_039.png,../data/synthetic/imagens_videira/saudavel\saudavel_039.png,saudavel,256,256
saudavel_040.png,../data/synthetic/imagens_videira/saudavel\saudavel_040.png,saudavel,256,256
saudavel_041.png,../data/synthetic/imagens_videira/saudavel\saudavel_041.png,saudavel,256,256
saudavel_042.png,../data/synthetic/imagens_videira/saudavel\saudavel_042.png,saudavel,256,256
saudavel_043.png,../data/synthetic/imagens_videira/saudavel\saudavel_043.png,saudavel,256,256
saudavel_044.png,../data/synthetic/imagens_videira/saudavel\saudavel_044.png,saudavel,256,256
saudavel_045.png,../data/synthetic/imagens_videira/saudavel\saudavel_045.png,saudavel,256,256
saudavel_046.png,../data/synthetic/imagens_videira/saudavel\saudavel_046.png,saudavel,256,256
saudavel_047.png,../data/synthetic/imagens_videira/saudavel\saudavel_047.png,saudavel,256,256
saudavel_048.png,../data/synthetic/imagens_videira/saudavel\saudavel_048.png,saudavel,256,256
saudavel_049.png,../data/synthetic/imagens_videira/saudavel\saudavel_049.png,saudavel,256,256
saudavel_050.png,../data/synthetic/imagens_videira/saudavel\saudavel_050.png,saudavel,256,256
saudavel_051.png,../data/synthetic/imagens_videira/saudavel\saudavel_051.png,saudavel,256,256
saudavel_052.png,../data/synthetic/imagens_videira/saudavel\saudavel_052.png,saudavel,256,256
